TAHUN;NAMA PROVINSI;NAMA KABUPATEN/KOTA;NAMA KECAMATAN;NAMA KELURAHAN;JUMLAH KK;LUAS WILAYAH (KM2);KEPADATAN (JIWA/KM2);15-19 Laki-Laki;15-19 Perempuan;20-24 Laki-Laki;20-24 Perempuan;25-29 Laki-Laki;25-29 Perempuan;30-34 Laki-Laki;30-34 Perempuan;35-39 Laki-Laki;35-39 Perempuan;40-44 Laki-Laki;40-44 Perempuan;45-49 Laki-Laki;45-49 Perempuan;50-54 Laki-Laki;50-54 Perempuan;55-59 Laki-Laki;55-59 Perempuan;60-64 Laki-Laki;60-64 Perempuan;>65 Laki-Laki;>65 Perempuan;JUMLAH RT;JUMLAH RW;JUMLAH KEMATIAN;JUMLAH KELAHIRAN
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;PONDOK PINANG;17900;6.84;8897;2326;2121;2269;2217;2511;2503;2942;3031;2770;2765;2649;2499;2134;2134;1699;1756;1296;1445;989;1023;1510;1492;189;17;211;940
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;PONDOK RANGGON;6961;3.66;6772;1044;1034;1059;1059;1127;1139;1221;1243;1088;1064;969;945;920;846;713;607;453;391;271;227;253;296;63;6;93;391
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;PULO;2099;1.27;5408;253;256;227;238;223;248;278;283;256;295;289;305;267;322;272;291;220;214;141;140;161;256;47;6;40;62
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;PULO GADUNG;12651;1.29;30260;1417;1401;1493;1436;1824;1780;2180;2058;1998;1836;1788;1596;1477;1338;1143;1019;748;703;519;506;680;720;112;10;240;529
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CAKUNG;PULO GEBANG;28085;6.86;13716;3750;3564;3966;3914;4268;4472;4851;5012;4162;4030;3755;3600;3011;2968;2454;2595;2134;1992;1476;1170;1263;1019;185;16;312;1304
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;RAGUNAN;13406;5.05;8681;1599;1503;1555;1503;1755;1790;2262;2274;2284;2160;2011;1854;1614;1556;1111;1195;882;902;597;613;844;845;108;11;188;639
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIRACAS;RAMBUTAN;11759;2.09;19324;1554;1498;1621;1671;1838;1795;2199;2143;1857;1849;1729;1567;1369;1277;1087;989;782;807;539;493;568;472;87;6;161;564
2013;PROVINSI DKI JAKARTA;JAKARTA UTARA;KOJA;RAWA BADAK SELATAN;14467;1.33;35441;2098;2001;4099;1825;1720;3545;2029;1881;3910;2420;2294;4714;2626;2681;5307;2239;2110;4349;1925;1641;5941;5306;109;11;200;804
2013;PROVINSI DKI JAKARTA;JAKARTA UTARA;KOJA;RAWA BADAK UTARA;12471;1.33;31357;1830;1730;3560;1648;1435;3083;1718;1542;3260;2064;1867;3931;2296;2231;4527;2095;1898;3993;1829;1643;5714;5065;119;14;242;651
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;RAWA BARAT;2065;0.69;9778;282;238;224;215;256;254;278;293;274;272;261;273;291;317;249;265;181;196;120;149;191;282;45;7;41;70
2013;PROVINSI DKI JAKARTA;JAKARTA BARAT;CENGKARENG;RAWA BUAYA;21379;4.67;14886;3151;2946;6097;2700;2496;5196;2869;2763;5632;3396;3459;6855;3950;3971;7921;3496;3128;6624;3004;2691;9574;8163;140;12;143;1033
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;RAWA BUNGA;7780;0.88;28478;941;949;972;929;1102;1022;1182;1149;1131;1008;1034;1021;903;842;716;730;619;604;387;380;471;619;109;9;151;374
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PANCORAN;RAWA JATI;6658;0.67;29915;724;708;649;718;874;870;1014;1030;990;985;970;902;786;683;517;527;400;439;294;309;397;406;83;8;68;350
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CAKUNG;RAWA TERATE;10144;4.1;7387;1127;1085;1317;1176;1558;1390;1851;1673;1565;1417;1394;1136;1021;857;776;680;595;438;322;214;254;239;60;6;77;483
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;RAWAMANGUN;14004;2.6;16963;1603;1530;1489;1453;1792;1756;2164;2171;2054;2057;2049;1984;1746;1660;1231;1250;941;946;588;639;1033;1266;167;15;348;580
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;RAWASARI;8061;1.25;19945;989;914;875;880;869;969;1023;1185;1200;1160;1207;1085;1149;1037;984;746;765;551;552;376;833;522;118;9;128;321
2013;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;ROA MALAKA;1488;0.53;8275;159;158;317;151;139;290;129;128;257;180;150;330;199;194;393;179;191;370;170;169;657;628;27;3;27;32
